,date,onpromotion,oil_prices,sales
0,2013-01-01,0,67.71436595744682,2511.618999
1,2013-01-02,0,93.14,496092.417944
2,2013-01-03,0,92.97,361461.231124
3,2013-01-04,0,93.12,354459.6770927
4,2013-01-07,0,93.2,336122.801066
5,2013-01-08,0,93.21,318347.777981
6,2013-01-09,0,93.08,302530.809018
7,2013-01-10,0,93.81,258982.003049
8,2013-01-11,0,93.6,289737.6850845
9,2013-01-14,0,94.27,293348.362078
10,2013-01-15,0,93.26,299129.549954
11,2013-01-16,0,94.28,318347.913946
12,2013-01-17,0,95.49,267498.5159755
13,2013-01-18,0,95.61,296130.850028
14,2013-01-21,0,67.71436595744682,311211.26595000003
15,2013-01-22,0,96.09,296214.728983
16,2013-01-23,0,95.06,283258.4530325
17,2013-01-24,0,95.35,247245.690995
18,2013-01-25,0,95.15,290022.77193
19,2013-01-28,0,95.95,285460.169953
20,2013-01-29,0,97.62,264488.8180765
21,2013-01-30,0,97.98,281061.127052
22,2013-01-31,0,97.65,271254.217996
23,2013-02-01,0,97.46,369402.055266
24,2013-02-04,0,96.21,344308.715017
25,2013-02-05,0,96.68,321245.83913
26,2013-02-06,0,96.44,321538.177149
27,2013-02-07,0,95.84,290807.530973
28,2013-02-08,0,95.71,347441.789912
29,2013-02-11,0,97.01,278627.588926
30,2013-02-12,0,97.48,308800.7909121
31,2013-02-13,0,97.03,319597.929962
32,2013-02-14,0,97.3,308164.016957
33,2013-02-15,0,95.95,320168.883912
34,2013-02-18,0,67.71436595744682,350745.573191
35,2013-02-19,0,96.69,293637.801951
36,2013-02-20,0,94.92,313803.162034
37,2013-02-21,0,92.79,267711.1090155
38,2013-02-22,0,93.12,285679.869131
39,2013-02-25,0,92.74,307110.875933
40,2013-02-26,0,92.63,270425.0070675
41,2013-02-27,0,92.84,288401.998919
42,2013-02-28,0,92.03,278116.291888
43,2013-03-01,0,90.71,378898.165064
44,2013-03-04,0,90.13,383647.679097
45,2013-03-05,0,90.88,332189.993189
46,2013-03-06,0,90.47,335726.580968
47,2013-03-07,0,91.53,293099.52701
48,2013-03-08,0,92.01,316600.679967
49,2013-03-11,0,92.07,318379.133021
50,2013-03-12,0,92.44,271823.37801
51,2013-03-13,0,92.47,287869.663972
52,2013-03-14,0,93.03,247541.420096
53,2013-03-15,0,93.49,315878.090213
54,2013-03-18,0,93.71,330283.80303
55,2013-03-19,0,92.44,294020.245897
56,2013-03-20,0,93.21,321207.006946
57,2013-03-21,0,92.46,269130.127953
58,2013-03-22,0,93.41,304100.453969
59,2013-03-25,0,94.55,317559.6099585
60,2013-03-26,0,95.99,275818.2359
61,2013-03-27,0,96.53,313691.148998
62,2013-03-28,0,97.24,339293.269022
63,2013-03-29,0,67.71436595744682,345513.132
64,2013-04-01,0,97.1,428816.447912
65,2013-04-02,0,97.23,377732.827961
66,2013-04-03,0,95.02,373731.0758793
67,2013-04-04,0,93.26,308738.385963
68,2013-04-05,0,92.76,336394.782031
69,2013-04-08,0,93.36,346649.815943
70,2013-04-09,0,94.18,306335.8019617
71,2013-04-10,0,94.59,312846.374941
72,2013-04-11,0,93.44,303223.41301
73,2013-04-12,0,91.23,314394.967035
74,2013-04-15,0,88.75,338712.458055
75,2013-04-16,0,88.73,333431.880049
76,2013-04-17,0,86.65,334990.518942
77,2013-04-18,0,87.83,281924.509951
78,2013-04-19,0,88.04,311588.70494
79,2013-04-22,0,88.81,328886.320986
80,2013-04-23,0,89.21,302097.8329435
81,2013-04-24,0,91.07,310555.184925
82,2013-04-25,0,93.27,268790.618996
83,2013-04-26,0,92.63,304413.556952
84,2013-04-29,0,94.09,328795.874018
85,2013-04-30,0,93.22,310186.466894
86,2013-05-01,0,90.74,507974.636889
87,2013-05-02,0,93.7,348709.460063
88,2013-05-03,0,95.25,374291.2510323
89,2013-05-06,0,95.8,369869.383046
90,2013-05-07,0,95.28,317292.964148
91,2013-05-08,0,96.24,332477.410968
92,2013-05-09,0,96.09,305868.0570225
93,2013-05-10,0,95.81,335937.441949
94,2013-05-13,0,94.76,350598.06187
95,2013-05-14,0,93.96,308469.313119
96,2013-05-15,0,93.95,329113.560081
97,2013-05-16,0,94.85,307556.946937
98,2013-05-17,0,95.72,330004.241998
99,2013-05-20,0,96.29,341787.214991
100,2013-05-21,0,95.55,307178.399952
101,2013-05-22,0,93.98,301785.4831075
102,2013-05-23,0,94.12,289261.058026
103,2013-05-24,0,93.84,398389.241982
104,2013-05-27,0,67.71436595744682,321630.8309235
105,2013-05-28,0,94.65,307329.1680565
106,2013-05-29,0,93.13,309333.380899
107,2013-05-30,0,93.57,304344.849939
108,2013-05-31,0,91.93,330257.841975
109,2013-06-03,0,93.41,426332.097995
110,2013-06-04,0,93.36,369705.160085
111,2013-06-05,0,93.66,361791.080915
112,2013-06-06,0,94.71,317496.765891
113,2013-06-07,0,96.11,357673.087977
114,2013-06-10,0,95.82,349754.291978
115,2013-06-11,0,95.5,283858.2159925
116,2013-06-12,0,95.98,320173.5779987
117,2013-06-13,0,96.66,282886.9200452
118,2013-06-14,0,97.83,326956.7421072
119,2013-06-17,0,97.86,370944.271024
120,2013-06-18,0,98.46,320885.3399215
121,2013-06-19,0,98.24,306113.570978
122,2013-06-20,0,94.89,293877.944015
123,2013-06-21,0,93.81,319722.6870265
124,2013-06-24,0,95.07,336631.9640383
125,2013-06-25,0,95.25,305119.530064
126,2013-06-26,0,95.47,301847.2489636
127,2013-06-27,0,97.0,266525.458966
128,2013-06-28,0,96.36,324210.971803
129,2013-07-01,0,97.94,441758.3880965
130,2013-07-02,0,99.65,390958.38408
131,2013-07-03,0,101.92,374551.917949
132,2013-07-04,0,67.71436595744682,327020.179028
133,2013-07-05,0,103.09,351401.500074
134,2013-07-08,0,103.03,365452.995017
135,2013-07-09,0,103.46,317279.1449993
136,2013-07-10,0,106.41,314134.886071
137,2013-07-11,0,104.77,281750.931023
138,2013-07-12,0,105.85,308786.438133
139,2013-07-15,0,106.2,348803.0469486
140,2013-07-16,0,105.88,335516.229006
141,2013-07-17,0,106.39,324313.8180255
142,2013-07-18,0,107.94,287074.8739522
143,2013-07-19,0,108.0,313332.555049
144,2013-07-22,0,106.61,342802.29905
145,2013-07-23,0,107.13,316257.463107
146,2013-07-24,0,105.41,309243.7899995
147,2013-07-25,0,105.47,298074.2249247
148,2013-07-26,0,104.76,318745.692921
149,2013-07-29,0,104.61,331493.2850525
150,2013-07-30,0,103.14,318553.989932
151,2013-07-31,0,105.1,357982.979012
152,2013-08-01,0,107.93,397555.3181021
153,2013-08-02,0,106.94,393831.120007
154,2013-08-05,0,106.61,407033.810946
155,2013-08-06,0,105.32,357263.854086
156,2013-08-07,0,104.41,351302.132003
157,2013-08-08,0,103.45,310953.0239315
158,2013-08-09,0,106.04,337521.667868
159,2013-08-12,0,106.19,349539.224033
160,2013-08-13,0,106.78,317103.331061
161,2013-08-14,0,106.89,324377.386893
162,2013-08-15,0,107.43,311043.17291
163,2013-08-16,0,107.58,364487.3218839
164,2013-08-19,0,107.14,362085.52696
165,2013-08-20,0,104.9,343046.11398
166,2013-08-21,0,103.93,335724.643932
167,2013-08-22,0,104.93,306473.26098
168,2013-08-23,0,106.48,331906.369098
169,2013-08-26,0,105.88,347159.6410143
170,2013-08-27,0,109.11,319688.2190185
171,2013-08-28,0,110.17,319322.060993
172,2013-08-29,0,108.51,294518.685943
173,2013-08-30,0,107.98,354932.930947
174,2013-09-02,0,67.71436595744682,458792.960966
175,2013-09-03,0,108.67,397680.420032
176,2013-09-04,0,107.29,392565.48591
177,2013-09-05,0,108.5,330622.779063
178,2013-09-06,0,110.62,335442.247929
179,2013-09-09,0,109.62,377151.7070027
180,2013-09-10,0,107.48,308074.4658225
181,2013-09-11,0,107.65,323124.61885
182,2013-09-12,0,108.72,282855.730937
183,2013-09-13,0,108.31,319556.942029
184,2013-09-16,0,106.54,373229.840879
185,2013-09-17,0,105.36,327282.949966
186,2013-09-18,0,108.23,315687.718926
187,2013-09-19,0,106.26,279580.372008
188,2013-09-20,0,104.7,331846.9039701
189,2013-09-23,0,103.62,356043.0340047
190,2013-09-24,0,103.22,303333.392926
191,2013-09-25,0,102.68,312490.104996
192,2013-09-26,0,103.1,273057.8798588
193,2013-09-27,0,102.86,320246.574024
194,2013-09-30,0,102.36,367068.4500143
195,2013-10-01,0,102.09,436441.034076
196,2013-10-02,0,104.15,414455.6550375
197,2013-10-03,0,103.29,348933.24703
198,2013-10-04,0,103.83,378109.978059
199,2013-10-07,0,103.07,373387.109043
200,2013-10-08,0,103.54,326726.7240121
201,2013-10-09,0,101.63,322529.418957
202,2013-10-10,0,103.08,305047.0980576
203,2013-10-11,0,102.17,402913.849028
204,2013-10-14,0,102.46,342694.7209944
205,2013-10-15,0,101.15,305242.569986
206,2013-10-16,0,102.34,355696.963943
207,2013-10-17,0,100.72,312949.412961
208,2013-10-18,0,100.87,323327.873107
209,2013-10-21,0,99.28,348721.327971
210,2013-10-22,0,97.63,301641.7850828
211,2013-10-23,0,96.9,323105.11598
212,2013-10-24,0,96.65,276059.0800025
213,2013-10-25,0,97.4,317570.4260338
214,2013-10-28,0,98.74,346941.91396
215,2013-10-29,0,98.29,302332.9969864
216,2013-10-30,0,96.81,319494.7050373
217,2013-10-31,0,96.29,298195.433106
218,2013-11-01,0,94.56,403637.232955
219,2013-11-04,0,94.58,424314.167046
220,2013-11-05,0,93.4,393322.182909
221,2013-11-06,0,94.74,386426.9788195
222,2013-11-07,0,94.25,346293.3400477
223,2013-11-08,0,94.56,358473.978049
224,2013-11-11,0,95.13,374087.890067
225,2013-11-12,0,93.12,373277.748034
226,2013-11-13,0,93.91,332279.2568851
227,2013-11-14,0,93.76,284567.4029707
228,2013-11-15,0,93.8,349383.296052
229,2013-11-18,0,93.03,391945.551999
230,2013-11-19,0,93.35,329455.2710234
231,2013-11-20,0,93.34,354337.734795
232,2013-11-21,0,95.35,298047.047965
233,2013-11-22,0,94.53,340734.213038
234,2013-11-25,0,93.86,365965.5090102
235,2013-11-26,0,93.41,323292.830024
236,2013-11-27,0,92.05,337083.286026
237,2013-11-28,0,67.71436595744682,305982.981947
238,2013-11-29,0,92.55,357000.404165
239,2013-12-02,0,93.61,495488.366984
240,2013-12-03,0,95.83,424438.046973
241,2013-12-04,0,96.97,424147.0459855
